location,count,link
"moscow, idaho",2,"https://shawngraham.github.io/test-collectionbuilder/browse.html#moscow,%20idaho"
"ashland, or",1,"https://shawngraham.github.io/test-collectionbuilder/browse.html#ashland,%20or"
"bonner county",1,"https://shawngraham.github.io/test-collectionbuilder/browse.html#bonner%20county"
"priest river experimental forest",1,"https://shawngraham.github.io/test-collectionbuilder/browse.html#priest%20river%20experimental%20forest"
"benton creek",1,"https://shawngraham.github.io/test-collectionbuilder/browse.html#benton%20creek"
"bonneville dam",1,"https://shawngraham.github.io/test-collectionbuilder/browse.html#bonneville%20dam"
"pompeii",1,"https://shawngraham.github.io/test-collectionbuilder/browse.html#pompeii"
